feature,mean_shap_value
Title_Mr,0.92585915
Pclass_3,0.40182006
Sex_male,0.38081914
Fare,0.3709714
Age,0.28846768
FamilySize,0.22333835
HasCabin,0.18115395
Embarked_S,0.15590836
Title_Mrs,0.069756426
Title_Rare,0.063425146
CabinDeck_U,0.047798447
CabinDeck_C,0.042490415
CabinDeck_E,0.03094507
Pclass_2,0.022240737
Age_is_na,0.015733559
CabinDeck_D,0.0141925495
Title_Miss,0.011814371
Embarked_Q,0.009112457
CabinDeck_B,0.004208002
IsAlone,0.0010969323
CabinDeck_F,0.0
CabinDeck_G,0.0
CabinDeck_T,0.0
