feature,mean_shap_value
Title_Mr,0.6455920325680329
Age,0.592567716355003
FarePerPerson,0.5750732035857431
Sex_male,0.567549700801513
Pclass_Sex_Interaction,0.37633520723132013
Fare,0.32863781550812493
Embarked_S,0.23529149128959811
Title_Mrs,0.210846058379882
FareBin_Q2,0.18277170856896938
TicketFrequency,0.14870000627101443
FamilySize,0.1270138210905167
CabinDeck_U,0.09241809735826315
HasCabin,0.08392596685193189
Pclass_3,0.07232595355834828
Embarked_Q,0.06415461194600515
Pclass_2,0.05526704328479256
CabinDeck_C,0.055250015578995386
CabinDeck_E,0.05225100230921533
FareBin_Q3,0.05012119715484023
Age_is_na,0.049113925551460894
AgeBin_Middle,0.04860187458785454
CabinDeck_D,0.038601138203681114
FamilyBin_Small,0.038533949030539145
Title_Miss,0.026788174381395916
CabinDeck_B,0.023260906620460674
FamilyBin_Solo,0.00961286680098895
AgeBin_Child,0.007593748881195753
IsAlone,0.005871762811620835
FareBin_Q4,0.0022618908039301992
AgeBin_Teen,0.002103313034929922
AgeBin_Senior,0.0009198582402329776
Title_Rare,0.0
Title_Rare_Clergy,0.0
Title_Rare_Military,0.0
Title_Rare_Prof,0.0
CabinDeck_G,0.0
CabinDeck_T,0.0
CabinDeck_F,0.0
